,1632,212,269,1427|,1632,261,1197,1429|,1632,208,20,269,1427|,1632,210,4,273,1427|,1632,210,41,1195,1429|,1632,210,45,1195,1429|,1632,210,159,451,1431|,1632,210,925,922,1427|,1632,210,1385,1388,1431|,1632,793,790,1195,1429|,1630,856,142,269,1427|,1630,860,20,269,1427|,1634,598,9,271,1427|,1634,598,10,269,1427|,1634,598,14,273,1427|,1634,598,43,1195,1429|,1634,598,141,449,1431|,1634,598,173,453,1431|,1634,600,522,1195,1429|,1634,602,157,451,1431|,1634,602,259,1197,1429|,1634,602,927,922,1427|,1634,602,157,763,1193,1429|,1634,602,34,1,269,1427|,1634,602,36,1,269,1427|,1634,602,38,9,271,1427|,1634,602,38,10,269,1427|,1634,602,38,14,273,1427|,1634,602,38,43,1195,1429|,1634,602,38,141,449,1431|
,1574,635|,1570,50,635|,1570,48,117,637|,1570,48,1343,1346|,1570,1291,1288,635|,1570,1765,1766,635|,1574,67,113,637|,1574,67,277,639|,1574,83,115,637|,1574,159,275,639|,1574,489,486,637|,1574,675,672,637|,1574,1231,1232,637|,1574,1561,1562,637|,1572,1114,5,635|,1572,1116,572,635|,1572,1116,570,506,635|,1572,1114,15,12,635|,1572,1114,133,279,639|,1572,1114,133,1127,1130|,1572,1114,301,302,637|,1572,1114,1351,1352,637|,1572,1118,963,958,635|,1572,1147,1144,50,635|,1572,1147,1148,12,635|,1574,1719,1714,113,637|,1574,1719,1714,277,639|,1574,1567,1564,117,637|,1574,1567,1564,1343,1346|,1574,1409,1412,672,637|
,880,489|,880,159,485|,884,100,489|,884,100,159,485|,884,102,22,489|,884,104,155,485|,884,221,1003,1000|,884,713,714,487|,884,879,874,489|,884,879,876,485|,884,1293,1288,489|,884,1469,1470,487|,880,67,113,487|,880,83,115,487|,880,395,398,485|,880,397,398,485|,880,635,636,487|,880,645,1219,1216|,880,675,672,487|,880,875,876,485|,880,997,1005,1000|,880,1231,1232,487|,880,1561,1562,487|,882,364,100,489|,882,364,100,159,485|,882,364,102,22,489|,882,364,104,155,485|,882,364,221,1003,1000|,882,364,713,714,487|,882,364,879,874,489|
,520,30,905|,520,32,905|,520,823,907|,522,42,905|,524,4,909|,524,13,905|,601,598,905|,601,598,14,909|,601,598,821,907|,601,602,38,905|,524,13,14,909|,524,13,821,907|,524,4,15,905|,524,23,26,905|,524,41,42,905|,524,45,42,905|,524,89,92,905|,524,159,825,907|,524,161,162,905|,524,161,164,905|,524,341,342,905|,524,439,440,905|,524,585,580,905|,524,683,684,905|,524,1055,1056,905|,524,1093,1094,905|,522,42,14,909|,522,42,821,907|,522,40,4,909|,522,40,13,905|
,1230,19,1301|,1230,19,97,1305|,1230,3,17,1301|,1230,41,99,1305|,1230,45,99,1305|,1230,67,227,1303|,1230,211,208,1301|,1230,587,590,1303|,1230,651,648,1303|,1230,697,698,1301|,1230,1241,1242,1301|,1230,1319,1320,1301|,1228,1647,1642,1301|,1232,112,227,1303|,1232,116,21,1301|,1232,325,322,1305|,1232,325,322,96,1301|,1232,116,21,97,1305|,1232,116,0,17,1301|,1232,116,53,54,1301|,1232,116,77,95,1305|,1232,116,213,208,1301|,1232,116,461,464,1303|,1232,116,895,892,1303|,1232,112,66,19,1301|,1232,112,68,231,1303|,1232,112,177,174,1305|,1232,112,189,186,1305|,1232,114,82,19,1301|,1232,114,84,99,1305|
,1294,1258,1367|,1296,1176,1369|,1296,1178,314,1369|,1294,1260,13,1369|,1294,1260,371,1367|,1294,1260,375,1367|,1294,1262,1080,1369|,1298,82,13,1369|,1298,82,371,1367|,1298,82,375,1367|,1298,84,42,1369|,1298,86,8,1369|,1298,139,140,1369|,1298,86,7,15,1369|,1298,86,29,30,1369|,1298,86,29,32,1369|,1298,86,233,236,1369|,1298,84,40,13,1369|,1298,84,40,371,1367|,1298,84,40,375,1367|,1298,84,44,13,1369|,1298,84,44,371,1367|,1298,84,44,375,1367|,1298,84,199,483,1371|,1298,84,497,500,1369|,1298,82,4,15,1369|,1298,82,23,26,1369|,1298,82,41,42,1369|,1298,82,45,42,1369|,1298,82,51,479,1371|
,430,769,766|,432,100,203|,434,318,205|,965,968,203|,965,968,333,330|,965,968,445,442|,965,968,551,554|,965,968,915,910|,965,966,438,203|,434,318,305,306|,434,316,12,203|,434,316,31,205|,434,316,33,205|,434,316,57,207|,432,100,333,330|,432,100,445,442|,432,100,551,554|,432,100,915,910|,432,102,22,203|,432,102,491,494|,432,104,80,205|,432,221,224,205|,432,221,807,802|,432,365,368,205|,432,879,874,203|,432,885,880,203|,432,1293,1288,203|,430,124,46,205|,430,124,50,203|,430,128,349,346|
,1150,22,915|,1152,438,915|,1152,438,203,911|,1152,436,146,915|,1152,440,12,915|,1152,440,531,913|,1152,967,968,915|,1150,22,203,911|,1150,26,12,915|,1150,26,531,913|,1150,65,66,915|,1150,103,100,915|,1150,345,340,915|,1150,491,494,911|,1150,1059,1054,915|,1154,272,5,915|,1154,923,924,915|,1154,923,924,203,911|,1154,272,5,203,911|,1154,272,15,12,915|,1154,272,15,531,913|,1154,272,255,252,911|,1154,272,1173,1168,911|,1154,268,0,2,915|,1154,268,11,12,915|,1154,268,11,531,913|,1154,268,21,18,915|,1154,268,25,22,915|,1154,268,49,50,915|,1154,268,53,207,911|
,984,473|,982,507,502|,986,666,473|,1457,1460,502|,986,664,31,473|,986,664,33,473|,982,13,31,473|,982,13,33,473|,982,41,123,475|,982,45,123,475|,982,51,46,473|,982,51,119,475|,982,67,68,473|,982,83,353,477|,982,159,355,477|,982,203,204,473|,982,239,240,473|,982,525,520,473|,982,557,560,473|,982,559,560,473|,982,573,570,502|,982,587,588,473|,982,675,670,473|,982,749,752,473|,982,887,890,473|,982,997,998,473|,982,1125,1122,475|,982,1191,1186,473|,982,1191,1188,473|,982,1241,1244,475|
,1360,304,589|,1360,308,591|,1364,458,587|,1364,454,444,587|,1364,456,1311,1308|,1364,1043,1046,589|,1364,1399,1400,589|,1360,308,230,589|,1360,304,231,591|,1360,306,202,587|,1360,306,204,589|,1360,447,444,587|,1360,1479,1474,587|,1362,516,464,591|,1362,516,464,230,589|,1362,516,462,160,587|,1362,514,478,46,589|,1362,514,478,50,587|,1362,514,480,46,589|,1362,514,480,50,587|,1362,518,112,66,587|,1362,518,112,68,589|,1362,518,112,227,591|,1362,518,114,82,587|,1362,518,303,298,589|,1362,518,321,318,589|,1362,518,487,488,587|,1362,518,637,634,587|,1362,518,673,670,589|,1362,518,673,674,587|
,88,1567|,88,3,1569|,90,76,1565|,92,10,1565|,92,12,1567|,92,12,3,1569|,92,10,0,1569|,92,14,5,1567|,92,27,22,1567|,92,27,24,1565|,92,39,34,1569|,92,39,36,1569|,92,43,40,1567|,92,43,44,1567|,92,57,52,1565|,92,79,76,1565|,92,163,160,1567|,92,165,160,1567|,92,343,340,1567|,92,441,438,1567|,92,581,584,1567|,92,685,682,1567|,92,1057,1054,1567|,92,1095,1092,1567|,90,76,0,1569|,90,78,10,1565|,90,78,12,1567|,90,105,100,1567|,90,155,158,1567|,90,361,358,1567|
,820,387|,822,385|,824,383|,822,30,387|,822,32,387|,822,469,466|,820,31,385|,820,33,385|,820,531,528|,907,904,387|,907,904,31,385|,907,904,33,385|,907,904,531,528|,907,908,15,387|,820,33,469,466|,820,31,469,466|,822,32,531,528|,822,30,531,528|,824,154,78,387|,824,154,80,385|,824,156,38,387|,824,158,13,387|,824,399,527,528|,824,615,610,387|,824,1013,1014,528|,822,28,8,387|,822,81,78,387|,822,81,155,383|,822,181,178,387|,822,235,236,387|
,770,310,991|,770,314,27,991|,766,202,23,991|,766,202,159,993|,766,202,899,989|,766,495,490,991|,768,128,110,991|,768,128,106,27,991|,768,124,48,25,991|,768,124,50,23,991|,768,124,50,159,993|,768,124,50,899,989|,768,124,761,762,993|,768,431,432,102,991|,768,457,458,23,991|,768,457,458,159,993|,768,457,458,899,989|,768,755,756,354,993|,768,1415,1418,23,991|,768,1415,1418,159,993|,768,1415,1418,899,989|,766,495,492,157,993|,766,202,13,27,991|,766,202,67,64,991|,766,202,101,102,991|,766,202,341,344,991|,766,202,395,398,993|,766,202,397,398,993|,766,202,489,484,993|,766,202,875,876,993|
,1054,4,273,1427|,1054,41,1195,1429|,1054,45,1195,1429|,1054,159,451,1431|,1054,925,922,1427|,1054,1385,1388,1431|,1056,9,271,1427|,1056,10,269,1427|,1056,14,273,1427|,1056,43,1195,1429|,1056,141,449,1431|,1056,173,453,1431|,1058,24,269,1427|,1058,1151,1154,1427|,1058,1505,1508,1429|,1058,22,4,273,1427|,1058,22,41,1195,1429|,1058,22,45,1195,1429|,1058,22,159,451,1431|,1058,22,925,922,1427|,1058,22,1385,1388,1431|,1058,26,9,271,1427|,1058,26,10,269,1427|,1058,26,14,273,1427|,1058,26,43,1195,1429|,1058,26,141,449,1431|,1058,26,173,453,1431|,1058,65,177,453,1431|,1058,991,992,451,1431|,1058,1487,1490,273,1427|
,784,572,89|,786,40,89|,786,42,93|,786,44,89|,1543,1540,91|,1543,1540,78,93|,1543,1544,370,89|,1543,1544,374,89|,786,44,13,93|,786,42,12,89|,786,42,79,91|,786,42,1359,1354|,786,40,13,93|,786,61,62,89|,786,75,72,89|,786,85,82,89|,786,99,94,91|,786,497,500,93|,786,523,524,89|,786,791,1465,1462|,786,1011,1006,89|,786,1027,1028,91|,786,1411,1408,89|,784,572,13,93|,784,570,506,89|,788,760,50,89|,788,762,154,91|,788,762,158,89|,788,764,5,89|,788,764,15,93|
